"pcp-dstat 6.3.3 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","rts-vm",,,,"User:","claire"
"Cmdline:","dstat --output dstat_spred-fifo.csv -c -y -l --proc-count --top-cpu",,,,"Date:","09 Mar 2025 21:27:23 CDT"
"total usage",,,,,"system",,"load avg",,,"procs",,"most expensive cpu process",
3.583,0.312,78.045,0,0,1575,393,0.090,0.140,0.100,10,250,"rt-app",20.719
3.051,0.078,78.625,0,0,3197,739,0.080,0.140,0.100,10,250,"rt-app",20.497
7.909,0,86.072,0,0,690,159,0.080,0.140,0.100,10,250,"rt-app",12.097
6.060,0,89.451,0.121,0,2107,453,0.080,0.140,0.100,10,250,"rt-app",9.454
8.076,0.207,86.458,0,0,2968,582,0.080,0.140,0.100,10,250,"rt-app",12.114
6.202,0,85.308,0,0,1866,382,0.080,0.140,0.100,10,250,"rt-app",13.782
7.146,0,86.675,0,0,2319,457,0.080,0.140,0.100,10,250,"rt-app",12.042
6.810,0.115,87.490,0,0,2353,524,0.080,0.130,0.100,10,250,"rt-app",11.081
5.362,0,88.359,0,0,2379,506,0.080,0.130,0.100,10,250,"rt-app",10.375
1.158,0,96.266,0,0,1324,388,0.080,0.130,0.100,10,250,"rt-app",2.895
0.968,0.215,96.188,0,0,1469,483,0.080,0.130,0.100,10,250,"rt-app",2.905
1.227,0,95.828,0,0,1361,444,0.080,0.130,0.100,10,250,"rt-app",3.271
6.455,0.115,87.836,0.231,0,2490,546,0.150,0.150,0.100,10,250,"rt-app",11.066
7.093,0,86.658,0,0,2008,396,0.150,0.150,0.100,10,250,"rt-app",12.181
7.914,0,86.409,0,0,2441,466,0.150,0.150,0.100,10,250,"rt-app",12.326
3.483,0.134,92.842,0,0,1962,479,0.150,0.150,0.100,10,250,"rt-app",5.895
1.505,0.094,95.683,0.094,0,1883,656,0.150,0.150,0.100,10,250,"rt-app",3.293
1.014,0.253,96.072,0,0,1257,413,0.140,0.150,0.100,10,250,"rt-app",2.788
4.290,0,84.211,0.123,0,1607,366,0.140,0.150,0.100,10,250,"rt-app",15.200
2.942,0.525,86.059,0,0,1829,1249,0.140,0.150,0.100,10,250,"rt-app",9.457
4.791,0,78.090,0,0,1176,289,0.140,0.150,0.100,10,250,"rt-app",20.361
3.208,0,78.416,0,0,2828,631,0.140,0.150,0.100,10,250,"rt-app",20.477
5.975,0.181,84.738,0,0,1480,365,0.210,0.160,0.110,10,250,"rt-app",14.123
7.282,0,87.505,0.117,0,1815,556,0.210,0.160,0.110,10,250,"rt-app",11.628
6.912,0,88.526,0,0,1288,483,0.210,0.160,0.110,10,250,"rt-app",10.793
2.017,0.096,90.378,0,0,1496,616,0.210,0.160,0.110,10,250,"rt-app",8.932
2.327,0.145,87.988,0,0,1036,433,0.210,0.160,0.110,10,250,"rt-app",11.489
4.367,0,90.009,0,0,1061,414,0.190,0.160,0.100,10,250,"rt-app",9.462
3.308,0.132,92.226,0,0,1514,448,0.190,0.160,0.100,10,250,"rt-app",6.616
2.009,0.144,94.717,0,0,1511,522,0.190,0.160,0.100,10,251,"rt-app",
4.629,2.688,80.628,0,0,3483,1279,0.190,0.160,0.100,10,252,"rt-app",
2.374,0,93.960,0,0,1952,517,0.190,0.160,0.100,10,252,"rt-app",5.123
8.253,0.125,86.902,0,0,2391,489,0.260,0.170,0.110,10,252,"rt-app",11.879
8.252,0.125,86.521,0.125,0,2457,478,0.260,0.170,0.110,10,252,"rt-app",12.128
6.498,0.125,88.725,0,0,2288,484,0.260,0.170,0.110,10,252,"rt-app",10.247
0.500,0.125,95.662,0,0,2014,542,0.260,0.170,0.110,10,252,"rt-app",3.001
0.500,0,95.623,0,0,1900,495,0.260,0.170,0.110,10,252,"rt-app",3.125
1.375,0,90.246,0,0,1543,401,0.240,0.170,0.110,10,252,"rt-app",8.875
4.747,0,78.382,0,0,2461,548,0.240,0.170,0.110,10,252,"rt-app",20.534
3.864,0.143,82.006,0,0,1508,372,0.240,0.170,0.110,10,252,"rt-app",16.888
4.871,0.116,80.252,0,0,1713,323,0.240,0.170,0.110,10,252,"rt-app",18.787
7.650,0.120,86.899,0,0,2577,475,0.240,0.170,0.110,10,252,"rt-app",11.714
8.120,0,86.796,0,0,2354,435,0.300,0.180,0.110,10,252,"rt-app",12.114
4.824,0,89.784,0.134,0,1700,445,0.300,0.180,0.110,10,252,"rt-app",9.246
6.418,0.121,89.247,0,0,1182,414,0.300,0.180,0.110,10,252,"rt-app",10.172
6.965,0.129,89.256,0,0,1277,401,0.300,0.180,0.110,10,252,"rt-app",10.061
6.656,0,88.749,0,0,1716,596,0.270,0.180,0.110,10,252,"rt-app",10.683
1.394,0,96.595,0,0,774,296,0.270,0.180,0.110,10,252,"rt-app",2.788
1.003,0,95.903,0,0,1094,423,0.270,0.180,0.110,10,252,"rt-app",3.297
0.894,0,95.941,0.128,0,1176,467,0.270,0.180,0.110,10,252,"rt-app",3.066
0.191,0.191,98.623,0,0,1291,490,0.250,0.180,0.110,10,249,"kworker/u32:6-events_freezable_pwr_efficient",0.048,"missed 2 ticks"
